30374	53285
3583	2192
32450	24698
43251	28154
16058	23619
56618	44912
59450	4897
28604	1147
28301	30043
526	16258
59928	39194
14006	42618
48147	11298
52493	53448
15209	47559
14844	27956
33863	43394
44105	15724
26495	27403
11222	57650
22696	57559
26588	778
7529	46899
10341	50307
42080	27623
49820	15432
20514	40985
56370	42740
55480	28942
33804	9616
33097	4897
55105	14403
54169	16612
48346	21852
24471	2544
12111	22821
12682	13201
41473	46059
24447	45390
9920	7253
51030	9476
15187	33627
11811	36587
21961	18004
49119	47104
25303	6684
13558	29199
8111	56424
29751	44136
36925	40758
58924	30996
41510	51860
20818	13391
6449	19569
48800	57595
28774	353
9166	56792
51922	8510
54134	11930
10393	13483
41203	53694
30889	364
36928	10453
20818	44912
21417	4810
44364	5343
3194	51297
56209	15916
27106	51013
42589	27337
23011	20272
17777	11928
34278	24835
10040	20615
44328	18849
32118	36032
40166	59832
13772	50507
26588	10851
26495	38488
53265	3275
14949	52779
40544	26049
16002	4420
15077	27204
42368	15325
59961	37639
25937	10922
27021	25458
34003	42123
36059	7568
10315	9701
2697	52166
16011	29770
12692	54600
33321	53369
18445	13723
22141	37609
1150	50441
52488	10453
52982	42802
21239	1063
50586	52141
2494	32324
10803	31319
35351	57338
39070	13561
38700	4466
2738	19273
54923	18849
34602	2986
46497	39230
23837	31475
40801	21800
28395	55624
3435	35384
46776	28813
18267	25930
23138	4420
6233	35019
19942	23803
54177	14321
2590	53195
616	33912
13985	6409
26463	32499
55219	8977
1240	53394
24465	31319
2697	22697
22138	23608
46238	3897
18643	19379
899	11287
38536	12885
27442	46053
20461	25793
8318	23122
18512	18490
34974	51860
11276	16970
25382	26078
25813	21121
46295	31975
15923	8727
3898	26212
22696	551
30785	56901
2056	54715
18316	31825
36516	44734
59038	34834
34823	41179
50659	45353
49469	42051
42834	22780
11769	35676
39462	11445
28201	46240
34933	15534
42135	53733
59685	58704
16529	51154
57441	2035
10877	38588
8804	1773
25698	3506
3028	17167
59161	7677
25397	21469
33414	29808
54314	47668
13650	38957
39409	51106
21903	10707
28756	24329
55244	59667
58924	4996
58567	617
25114	28669
45774	32281
36922	29451
9171	35680
58206	58238
19786	7253
37146	13798
1264	45819
33922	42879
448	21121
50452	20272
55225	38389
42997	51528
43581	27300
9925	23430
13992	2898
17120	6536
1633	29808
26519	50502
20762	55490
25058	30374
17120	58441
33251	47573
32985	43695
20118	8768
44493	41181
39383	31934
52740	35132
12322	31044
24391	43881
16052	27413
33054	38013
19905	1335
2560	32302
50520	14082
21799	51236
1024	6962
52700	15442
16481	10533
11614	7077
52479	56206
6140	15845
15020	43529
